,client_id,trans_time,mcc_code,trans_type,amount,term_id,trans_city
1748964,002218c52073faaf23bb26df2cffb138,266 15:35:52,5499,1010,-466.32,804245,Saint Petersburg
1771166,002218c52073faaf23bb26df2cffb138,110 16:21:56,6011,2010,-723.93,,Saint Petersburg
1779156,002218c52073faaf23bb26df2cffb138,67 07:40:38,5411,1110,-611.9399999999999,,Saint Petersburg
1786063,002218c52073faaf23bb26df2cffb138,163 08:06:56,5261,1110,-8247.26,,Saint Petersburg
1796146,002218c52073faaf23bb26df2cffb138,61 15:16:05,5541,1110,-674.24,,Saint Petersburg
1866008,002218c52073faaf23bb26df2cffb138,329 17:10:32,6011,7010,723.81,671039,Saint Petersburg
1885600,002218c52073faaf23bb26df2cffb138,445 08:55:03,6011,2010,-722.51,10117859,Saint Petersburg
1901778,002218c52073faaf23bb26df2cffb138,445 08:54:40,6011,2010,-2891.51,10117859,Saint Petersburg
1997832,002218c52073faaf23bb26df2cffb138,62 08:16:39,5411,1110,-855.8299999999999,,Saint Petersburg
2000763,002218c52073faaf23bb26df2cffb138,397 09:15:17,5499,1010,-369.21,361876,Saint Petersburg
2027343,002218c52073faaf23bb26df2cffb138,247 16:04:30,5499,1010,-376.22,804245,Saint Petersburg
2078333,002218c52073faaf23bb26df2cffb138,244 09:59:04,5499,1010,-269.48,361876,Saint Petersburg
2100626,002218c52073faaf23bb26df2cffb138,93 14:04:13,5499,1010,-132.42,,Saint Petersburg
2170587,002218c52073faaf23bb26df2cffb138,174 05:34:02,5541,1010,-723.01,,Saint Petersburg
2181810,002218c52073faaf23bb26df2cffb138,203 10:09:51,6011,2010,-1446.38,,Saint Petersburg
2273108,002218c52073faaf23bb26df2cffb138,354 08:51:36,6011,2010,-2891.57,671039,Saint Petersburg
2277919,002218c52073faaf23bb26df2cffb138,59 09:19:51,5411,1010,-233.71,,Saint Petersburg
2281842,002218c52073faaf23bb26df2cffb138,291 15:06:28,6011,2010,-1446.72,671039,Saint Petersburg
2326699,002218c52073faaf23bb26df2cffb138,322 14:49:02,6011,2010,-2892.55,580392,Saint Petersburg
2352118,002218c52073faaf23bb26df2cffb138,163 07:26:52,5541,1010,-448.09,,Saint Petersburg
2402501,002218c52073faaf23bb26df2cffb138,254 07:44:06,5499,1010,-176.75,804245,Saint Petersburg
2510368,002218c52073faaf23bb26df2cffb138,415 07:07:53,5411,1010,-1926.68,135014,Saint Petersburg
2520851,002218c52073faaf23bb26df2cffb138,414 10:03:17,5499,1010,-481.0,361878,Saint Petersburg
2571220,002218c52073faaf23bb26df2cffb138,20 11:40:49,6011,2010,-2168.61,,Saint Petersburg
2604198,002218c52073faaf23bb26df2cffb138,39 11:35:29,5499,1010,-1050.69,,Saint Petersburg
2619050,002218c52073faaf23bb26df2cffb138,164 12:33:01,5499,1010,-61.88,,Saint Petersburg
2662832,002218c52073faaf23bb26df2cffb138,56 11:30:18,5411,1110,-1430.75,,Saint Petersburg
2683034,002218c52073faaf23bb26df2cffb138,40 13:16:52,6011,7010,3254.72,,Saint Petersburg
2685224,002218c52073faaf23bb26df2cffb138,163 08:20:16,5261,1110,-437.97,,Saint Petersburg
2749315,002218c52073faaf23bb26df2cffb138,311 07:48:52,6011,7010,724.03,671039,Saint Petersburg
2775966,002218c52073faaf23bb26df2cffb138,322 14:50:00,6011,2010,-1300.63,580392,Saint Petersburg
2777809,002218c52073faaf23bb26df2cffb138,172 08:56:12,6011,2010,-723.14,,Saint Petersburg
2830488,002218c52073faaf23bb26df2cffb138,172 10:53:42,5499,1010,-903.16,,Saint Petersburg
2856572,002218c52073faaf23bb26df2cffb138,59 12:31:05,5999,1010,-547.82,,Saint Petersburg
2875070,002218c52073faaf23bb26df2cffb138,39 13:42:33,5541,1110,-722.84,,Saint Petersburg
2877065,002218c52073faaf23bb26df2cffb138,102 11:42:16,5713,1010,-3219.2000000000003,,Saint Petersburg
2889550,002218c52073faaf23bb26df2cffb138,269 05:10:27,5541,1010,-434.03,10170903,Saint Petersburg
2926029,002218c52073faaf23bb26df2cffb138,96 10:34:58,5499,1010,-322.13,,Saint Petersburg
2930360,002218c52073faaf23bb26df2cffb138,208 09:55:48,5499,1010,-158.64,361878,Saint Petersburg
2936434,002218c52073faaf23bb26df2cffb138,256 12:24:48,5541,1010,-785.04,10170903,Saint Petersburg
2953294,002218c52073faaf23bb26df2cffb138,430 07:06:35,4814,1030,-73.09,889002,Saint Petersburg
2963751,002218c52073faaf23bb26df2cffb138,384 11:04:30,6011,2010,-1446.11,671039,Saint Petersburg
2964128,002218c52073faaf23bb26df2cffb138,327 07:06:54,5499,1010,-276.52,804245,Saint Petersburg
2970179,002218c52073faaf23bb26df2cffb138,96 10:29:31,5499,1010,-338.95,,Saint Petersburg
2998134,002218c52073faaf23bb26df2cffb138,101 11:28:34,5261,1110,-2643.48,,Saint Petersburg
3006972,002218c52073faaf23bb26df2cffb138,262 10:29:01,6011,2010,-2893.52,671039,Saint Petersburg
3009283,002218c52073faaf23bb26df2cffb138,262 11:02:05,5499,1010,-733.2,396613,Saint Petersburg
3068602,002218c52073faaf23bb26df2cffb138,273 14:18:27,5499,1010,-239.16,804245,Saint Petersburg
3124735,002218c52073faaf23bb26df2cffb138,360 13:25:32,5499,1010,-105.06,361876,Saint Petersburg
3134790,002218c52073faaf23bb26df2cffb138,259 10:02:46,5499,1010,-1093.32,361878,Saint Petersburg
3169275,002218c52073faaf23bb26df2cffb138,251 10:38:52,5499,1010,-518.37,396613,Saint Petersburg
3178272,002218c52073faaf23bb26df2cffb138,50 06:03:51,6011,2010,-2168.98,,Saint Petersburg
3216229,002218c52073faaf23bb26df2cffb138,244 13:21:07,5541,1010,-673.71,10170903,Saint Petersburg
3233620,002218c52073faaf23bb26df2cffb138,141 08:12:16,5411,1010,-3800.59,,Saint Petersburg
3246612,002218c52073faaf23bb26df2cffb138,164 12:30:10,5499,1010,-68.34,,Saint Petersburg
3260628,002218c52073faaf23bb26df2cffb138,247 15:58:11,5499,1010,-453.13,804245,Saint Petersburg
3273519,002218c52073faaf23bb26df2cffb138,262 10:35:48,5499,1110,-331.79,10001788,Saint Petersburg
3295467,002218c52073faaf23bb26df2cffb138,48 16:26:16,5541,1110,-560.77,,Saint Petersburg
3439795,002218c52073faaf23bb26df2cffb138,244 09:52:43,5499,1010,-488.67,361877,Saint Petersburg
3489892,002218c52073faaf23bb26df2cffb138,249 12:43:51,5499,1010,-1023.61,361876,Saint Petersburg
3516683,002218c52073faaf23bb26df2cffb138,278 10:46:28,5411,1110,-151.94,00122854,Saint Petersburg
3539979,002218c52073faaf23bb26df2cffb138,59 12:49:29,5411,1110,-380.89,,Saint Petersburg
3563208,002218c52073faaf23bb26df2cffb138,56 13:47:09,5541,1110,-672.92,,Saint Petersburg
